TryWith,MinStars,MaxDist,MaxPrice,TakeReferral,Frequency,Gender,Age,Student,Income,Children,RestDistance,RestRating,RestPrice,RestDiscount
0,4.328,20,27,5,3,0,33,0,480,1,28,1.54,12,1
0,4.058,30,11,2,2,0,41,0,480,1,28,2.418,12,1
1,3.49,15,11,4,5,1,30,0,95,1,18,3.32,12,1
0,3.738,45,20,5,5,1,30,0,49,0,10,2.796,12,1
0,4.328,45,20,4,5,0,36,0,95,1,6,2.796,12,1
0,3.226,45,27,3,5,0,33,1,95,0,28,1.17,16,1
0,4.328,45,20,3,5,0,24,1,8,0,21,3.32,16,1
0,2.4408,18,18,4,2,1,33,0,480,1,10,2.02,19,1
0,3.738,45,18,5,5,0,41,0,36,1,25,2.796,19,1
0,3.49,18,15,4,4,0,61,0,68,1,28,2.796,19,1
0,2.4408,10,15,5,2,1,61,0,36,0,15,1.54,19,1
0,4.058,45,23,3,3,1,61,0,95,1,10,1.17,19,1
0,4,30,27,5,5,1,24,0,49,0,25,4.11,23,1
0,3.49,15,38,4,3,1,33,0,49,1,18,1.54,23,1
0,4,30,18,4,4,0,61,0,8,1,10,4.11,23,1
0,4.058,15,20,4,2,1,24,1,8,0,25,4.11,23,1
0,3.49,27,20,4,5,0,24,0,24,0,21,2.02,23,1
0,3.49,27,38,4,5,0,24,1,8,0,6,2.418,23,1
0,4.058,30,20,4,5,0,36,0,215,1,25,2.796,26,1
0,4,27,23,4,2,0,30,0,8,0,25,3.32,26,1
0,4,20,18,3,2,0,30,0,8,1,25,4.11,26,1
0,4.328,18,23,5,3,0,33,0,49,1,28,4.11,26,1
0,4.8421,18,38,5,4,1,41,0,95,0,10,1.17,26,1
0,3.738,30,38,3,3,0,48,0,24,1,21,2.796,26,1
0,4.058,20,20,4,3,0,30,1,8,0,6,4.11,26,1
0,4.058,10,11,4,2,0,24,0,36,0,18,4.11,26,1
0,2.4408,10,11,4,2,0,36,0,95,1,21,1.17,26,1
0,4,20,23,5,4,0,30,0,68,0,21,3.32,30,1
0,4.328,27,11,5,5,0,33,0,215,1,10,1.17,30,1
0,3.49,27,18,4,3,0,48,0,480,1,28,2.418,30,1
0,4.058,30,15,4,3,0,36,0,68,1,25,2.418,30,1
0,4.328,30,11,4,5,0,61,0,24,1,6,2.796,30,1
0,3.738,20,23,4,3,0,61,0,36,1,10,1.17,30,1
1,3.226,10,38,3,3,0,36,0,480,1,6,1.17,30,1
0,3.226,18,23,3,2,0,41,0,95,1,28,1.54,30,1
0,4.328,20,38,5,5,1,48,0,36,1,25,2.796,33,1
0,3.49,18,23,4,3,0,41,0,49,1,28,2.796,33,1
0,4.328,30,23,4,2,0,30,0,36,1,18,1.54,33,1
0,4.058,27,38,4,4,0,41,0,68,0,10,2.418,33,1
0,2.4408,45,11,4,3,0,24,0,24,0,15,4.11,33,1
0,4,15,27,4,4,0,24,1,49,0,6,2.796,33,1
0,3.738,45,27,4,4,0,41,0,49,1,15,2.418,33,1
0,4.8421,10,15,4,3,0,24,0,36,0,28,1.17,12,1
0,3.49,15,11,4,2,1,24,0,95,0,15,2.796,12,1
0,3.49,45,15,2,4,0,24,0,49,1,25,1.54,12,1
0,4.8421,10,11,5,2,0,33,0,49,0,15,1.54,12,1
1,3.738,10,15,4,3,1,33,0,480,1,28,4.11,12,1
0,3.49,15,27,4,1,1,41,0,68,0,18,1.54,12,1
1,3.49,27,15,5,5,1,41,0,8,0,10,4.11,16,1
0,4.058,15,11,4,3,0,36,0,24,1,15,2.02,16,1
0,3.226,18,11,4,2,0,33,0,8,1,6,2.02,16,2
0,3.738,30,15,5,4,0,30,0,36,0,28,2.796,16,2
1,2.4408,20,11,5,5,1,30,1,95,1,21,2.02,16,2
0,3.738,15,15,4,4,1,24,1,8,0,25,2.418,16,2
0,4.328,45,38,4,5,1,48,0,215,0,6,2.796,16,2
0,3.738,15,15,4,2,1,61,0,36,0,21,4.11,16,2
0,3.738,15,11,5,3,0,36,0,95,1,28,2.418,19,2
0,3.738,15,27,3,5,1,41,0,215,1,15,2.796,19,2
1,4.8421,18,23,2,4,0,33,0,215,1,28,3.32,19,2
0,3.226,10,11,4,5,1,48,0,49,1,18,2.02,19,2
0,4,20,38,2,5,1,41,0,49,0,25,2.418,19,2
0,4.328,18,23,5,5,0,48,0,49,1,21,4.11,19,2
1,2.4408,27,18,4,2,0,61,0,36,0,15,1.54,19,2
0,4,15,27,5,4,0,41,0,215,1,18,4.11,23,2
0,4,20,23,3,5,1,61,0,68,1,28,2.02,23,2
0,4,30,38,4,2,1,41,0,95,1,25,3.32,23,2
0,4,20,38,5,3,0,36,0,68,1,18,1.17,23,2
0,4.328,18,18,5,3,0,30,0,68,1,25,2.418,23,2
0,2.4408,10,15,4,3,1,24,0,36,0,18,2.796,23,2
0,4.328,45,38,4,4,1,41,0,36,1,6,3.32,23,2
0,3.226,27,27,5,3,1,36,0,215,1,15,4.11,23,2
0,4.8421,10,23,4,3,0,48,0,215,1,18,2.796,26,2
0,4.328,10,27,5,2,0,41,0,95,1,28,1.17,26,2
0,2.4408,10,27,3,6,1,48,0,215,0,10,1.54,26,2
0,4.058,15,11,5,4,0,24,1,8,0,25,2.02,26,2
0,4,27,18,5,5,0,30,0,68,0,28,2.796,26,2
0,3.738,15,20,4,2,1,61,0,36,1,21,4.11,26,2
1,3.49,15,23,4,3,0,30,0,95,0,10,1.54,26,2
0,4.058,30,20,4,5,0,48,0,215,0,6,2.796,30,2
0,4.8421,10,18,4,3,1,41,0,68,0,18,4.11,33,2
0,4,10,23,4,5,0,33,0,68,1,10,2.418,33,2
0,4.058,15,27,4,3,0,30,0,36,0,25,3.32,33,2
0,2.4408,10,11,2,2,1,30,0,8,0,15,2.418,33,2
0,4.058,15,38,4,4,1,48,0,95,1,10,3.32,33,2
0,4.8421,18,15,5,3,0,33,0,36,0,28,2.02,12,2
0,3.226,18,11,2,4,1,48,0,24,0,28,1.17,12,2
0,2.4408,27,18,4,3,1,48,0,36,1,10,2.02,12,2
0,4,30,20,5,5,0,24,1,68,0,15,2.418,12,2
0,4.058,20,38,4,5,0,41,0,95,0,10,2.418,16,2
1,4.8421,45,38,5,5,1,33,0,68,1,18,3.32,16,2
0,4,45,38,5,5,0,36,0,36,0,25,4.11,16,2
0,3.738,20,11,4,5,1,30,0,24,0,15,1.17,16,2
0,4.328,20,11,5,4,0,48,0,215,1,18,4.11,16,2
